date,spread_vs_net,spread_vs_net_lag_1d,spread_vs_net_rolling_mean_7d,spread_vs_net_rolling_std_7d,aave_rate_change_1d,compound_net_change_1d,tvl_ratio,aave_tvl_change_pct_1d,days_since_spike,day_of_week
2023-02-06,-0.51292,,-0.51292,,,,0.15058343067512292,,,0
2023-02-07,-0.3533900000000001,-0.51292,-0.43315500000000007,0.11280474480268989,0.17552999999999996,0.016000000000000014,0.14232623673312442,-0.06842206553369679,,1
2023-02-08,-0.6723100000000002,-0.3533900000000001,-0.5128733333333334,0.15946000512145153,-0.24283999999999994,0.07608000000000015,0.19501020384365478,0.2606867183917625,,2
2023-02-09,-1.4047299999999998,-0.6723100000000002,-0.7358375,0.46454681209217213,-0.65961,0.0728099999999996,0.36592071328145176,0.6393861756573218,,3
2023-02-10,-1.4111500000000001,-1.4047299999999998,-0.8709,0.5030528799241686,-0.016669999999999963,-0.010249999999999648,0.3903172129348146,0.07921728422648289,,4
2023-02-11,-1.05643,-1.4111500000000001,-0.9018216666666667,0.4562747602231211,0.29288000000000003,-0.06184000000000012,0.314763222854741,-0.1258190661909706,,5
2023-02-12,-0.9175000000000002,-1.05643,-0.9040614285714287,0.41656211591344416,0.12607999999999997,-0.012849999999999806,0.28177082908232354,-0.08903020782140558,,6
2023-02-13,-0.95448,-0.9175000000000002,-0.9671414285714286,0.3792186679840789,-0.23195999999999994,-0.19498000000000015,0.30245569087588847,0.3139241410771023,,0
2023-02-14,-0.48465999999999987,-0.95448,-0.9858942857142857,0.3455615271244348,0.47062000000000004,0.0007999999999999119,0.25124869311334824,-0.16686670499528422,,1
2023-02-15,-0.3372999999999997,-0.48465999999999987,-0.9380357142857142,0.41287265134490503,0.17376999999999998,0.026409999999999823,0.2323144861903605,-0.08005618473059584,,2
2023-02-16,-0.3491200000000001,-0.3372999999999997,-0.7872342857142857,0.406737758179114,0.11280999999999985,0.12463000000000024,0.23620834539041483,-0.07368925135951909,,3
2023-02-17,-0.2925399999999998,-0.3491200000000001,-0.627432857142857,0.33399345436272065,-0.07704999999999984,-0.13363000000000014,0.21336018438246132,0.12358751785745548,,4
2023-02-18,0.051630000000000065,-0.2925399999999998,-0.4691385714285713,0.35846850500560323,-0.37765000000000004,-0.7218199999999999,0.1170924287319207,0.3830485976213098,,5
2023-02-19,0.42829000000000006,0.051630000000000065,-0.27688285714285704,0.431395461833427,0.4106099999999999,0.033949999999999925,0.09647006977440911,-0.2036666463410166,,6
2023-02-20,0.4186700000000001,0.42829000000000006,-0.08071857142857132,0.3812053617771115,0.09033000000000002,0.09994999999999998,0.10062353311683443,-0.024463392395268624,,0
2023-02-21,0.49580999999999986,0.4186700000000001,0.059348571428571494,0.38811296712119575,0.09764999999999979,0.020510000000000028,0.09561389697564099,-0.06418731715164971,,1
2023-02-22,0.19678000000000018,0.49580999999999986,0.13564571428571434,0.3475146475981083,-0.09870999999999963,0.20032000000000005,0.13463695128758987,0.10050607198086392,,2
2023-02-23,0.2806799999999998,0.19678000000000018,0.2256171428571429,0.27506718038291794,0.10047999999999968,0.01658000000000004,0.13101371603378476,-0.048077352450240474,,3
2023-02-24,0.0799700000000001,0.2806799999999998,0.27883285714285716,0.17648163367276698,-0.18762999999999974,0.01307999999999998,0.15580456322371017,0.1740716045923596,,4
2023-02-25,0.006159999999999943,0.0799700000000001,0.2723371428571429,0.18677463726054652,-0.12353000000000014,-0.049719999999999986,0.16807939043443776,0.12132580750936328,,5
2023-02-26,0.15276,0.006159999999999943,0.23297571428571429,0.1772196075360662,0.16497000000000006,0.018369999999999997,0.15696547519949275,-0.07891723378434001,,6
2023-02-27,0.14468999999999999,0.15276,0.19383571428571428,0.15865536978591052,0.0041400000000000325,0.012210000000000054,0.15917866484177193,0.004935343078173338,,0
2023-02-28,0.4002800000000002,0.14468999999999999,0.18018857142857145,0.12984363704453009,0.2667600000000001,0.011169999999999902,0.1364668579472088,-0.15097268536663455,,1
2023-03-01,0.4285300000000001,0.4002800000000002,0.2132957142857143,0.1606662325917844,0.003849999999999909,-0.024399999999999977,0.1368385235857646,0.013899027425421151,,2
2023-03-02,0.2601100000000003,0.4285300000000001,0.21035714285714294,0.15941158403268188,-0.15825999999999985,0.010159999999999947,0.16203796220347885,0.17120483602485614,,3
2023-03-03,0.09606000000000026,0.2601100000000003,0.2126557142857144,0.15732046093426846,-0.11274000000000006,0.05130999999999997,0.19290849600874768,0.09315182266748168,,4
2023-03-04,-0.06627000000000027,0.09606000000000026,0.2023085714285715,0.17459858489580704,-0.06945000000000023,0.0928800000000003,0.22847661730775698,0.055080169551217084,,5
2023-03-05,-0.06468999999999991,-0.06627000000000027,0.1712442857142858,0.20206692058631814,-0.005749999999999922,-0.007330000000000281,0.22768716957726012,0.002386673545690998,,6
2023-03-06,-0.15748000000000006,-0.06468999999999991,0.12807714285714294,0.2378013711562843,-0.14390999999999998,-0.05111999999999983,0.24276195598008385,0.12585957292291217,,0
2023-03-07,-0.13725999999999994,-0.15748000000000006,0.051285714285714344,0.22148284063384568,0.05396000000000001,0.03373999999999988,0.24318011953366916,-0.03106667128716034,,1
2023-03-08,-0.10672999999999977,-0.13725999999999994,-0.025179999999999918,0.15058473185109472,0.06406,0.03352999999999984,0.24652509498096326,-0.002072664828243309,,2
2023-03-09,-0.6127499999999999,-0.10672999999999977,-0.14987428571428565,0.220250628213794,-0.24760000000000004,0.2584200000000001,0.4288971017034747,0.2076774297879298,,3
2023-03-10,-0.4378099999999998,-0.6127499999999999,-0.22614142857142852,0.21321686865947514,0.16931000000000007,-0.005630000000000024,0.37953058349963487,-0.15347972801083498,,4
2023-03-11,-1.3131000000000002,-0.4378099999999998,-0.40425999999999995,0.44844269095021094,-1.3729200000000001,-0.4976299999999998,0.8542966753657535,1.773566566503331,,5
2023-03-12,-1.42478,-1.3131000000000002,-0.5985585714285714,0.5580464174071474,-0.15009999999999996,-0.03842000000000012,1.0708228679261764,0.38993993299396235,,6
2023-03-13,-1.1971800000000001,-1.42478,-0.7470871428571427,0.5594442147856593,0.52203,0.2944300000000002,0.7593534845521699,-0.3917399276570198,,0
2023-03-14,-0.9580200000000001,-1.1971800000000001,-0.8643385714285714,0.4923134537205801,0.21087999999999996,-0.028280000000000083,0.6135677292428613,-0.1290118702209765,,1
2023-03-15,-0.44565999999999995,-0.9580200000000001,-0.9127571428571429,0.416162170422152,0.5145200000000001,0.0021599999999999397,0.44864592169525347,-0.2603547283869295,,2
2023-03-16,-0.6844700000000001,-0.44565999999999995,-0.9230028571428572,0.4083547525830242,-0.23303000000000007,0.005780000000000118,0.6046663394581907,0.35302469543355164,,3
2023-03-17,-0.49429999999999996,-0.6844700000000001,-0.9310728571428573,0.397584326598953,0.1206100000000001,-0.06956000000000007,0.5488540383372909,-0.01979706110198176,,4
2023-03-18,-0.6196700000000002,-0.49429999999999996,-0.8320114285714286,0.37210540972635564,-0.06544000000000016,0.05993000000000004,0.5951118519140156,0.059963586693836834,,5
2023-03-19,-0.6418200000000003,-0.6196700000000002,-0.72016,0.26708226616531444,0.03256999999999999,0.0547200000000001,0.6117824995173513,-0.01792854091791718,,6
2023-03-20,-0.64809,-0.6418200000000003,-0.6417185714285715,0.1646067140619894,0.01880000000000015,0.025069999999999926,0.6323183273122948,0.01351695570292022,,0
2023-03-21,-0.35630000000000006,-0.64809,-0.5557585714285714,0.1240064097037682,0.26556,-0.026229999999999976,0.5024744985482691,-0.17703664517421036,,1
2023-03-22,-0.32318,-0.35630000000000006,-0.5382614285714287,0.14837653918646349,0.09817999999999993,0.0650599999999999,0.49058462565403504,-0.0789303608773122,,2
2023-03-23,-0.4408599999999998,-0.32318,-0.5034600000000001,0.13645860190304263,-0.14063000000000003,-0.022950000000000248,0.5266153468072905,0.09257488296192018,,3
2023-03-24,-0.7306600000000001,-0.4408599999999998,-0.5372257142857144,0.16087301947572766,-0.21883999999999992,0.07096000000000036,0.6702952339540211,0.20116773546653133,,4
2023-03-25,-0.49832999999999994,-0.7306600000000001,-0.5198914285714287,0.15699959898341181,0.22319999999999984,-0.009130000000000305,0.5706919648984006,-0.13911706723763428,,5
2023-03-26,-0.3541000000000001,-0.49832999999999994,-0.4787885714285714,0.15742053640155113,0.08305000000000007,-0.06117999999999979,0.4895637485010226,-0.07120606756336778,,6
2023-03-27,-0.4044000000000001,-0.3541000000000001,-0.4439757142857143,0.1396868476100659,-0.03647,0.013830000000000009,0.5168018409798908,0.03763660144922021,,0
2023-03-28,-0.5383100000000001,-0.4044000000000001,-0.4699771428571428,0.13757052672650932,-0.08908999999999989,0.04482000000000008,0.5791508825879446,0.0737689807996127,,1
2023-03-29,-0.9456500000000001,-0.5383100000000001,-0.5589014285714285,0.20933086437731094,-0.3733900000000001,0.033949999999999925,0.8425892946874204,0.39771058310463525,,2
2023-03-30,-0.8171899999999999,-0.9456500000000001,-0.6126628571428572,0.22190975400781576,0.11265000000000014,-0.015810000000000102,0.7598555961631086,-0.08491830355799024,,3
2023-03-31,-0.9285400000000001,-0.8171899999999999,-0.6409314285714286,0.25024151410377976,-0.04251000000000005,0.06884000000000023,0.8430624360593088,0.04020365103306234,,4
2023-04-01,-0.6961599999999999,-0.9285400000000001,-0.6691928571428571,0.24250393864253564,0.2279199999999999,-0.004460000000000353,0.7332856780212593,-0.12299170606334009,,5
2023-04-02,-0.6965199999999998,-0.6961599999999999,-0.71811,0.19898158105714175,-0.027059999999999862,-0.026699999999999946,0.7188748440988477,0.018978129501097785,,6
2023-04-03,-0.4830700000000001,-0.6965199999999998,-0.7293485714285716,0.17958643076325562,0.15538999999999992,-0.05805999999999978,0.6211456609769184,-0.07868060076663641,,0
2023-04-04,-0.47721000000000013,-0.4830700000000001,-0.72062,0.19150827849817148,-0.0025399999999999867,-0.008399999999999963,0.6066084058886543,-0.012048514962708534,,1
2023-04-05,-0.1906199999999998,-0.47721000000000013,-0.6127585714285714,0.2479500652301162,0.27217,-0.014420000000000321,0.4905762374598733,-0.1729297326479572,,2
2023-04-06,-0.17079000000000022,-0.1906199999999998,-0.5204157142857142,0.2777075786300604,0.045909999999999895,0.026080000000000325,0.49044897423594164,-0.023205706447543495,,3
2023-04-07,-0.5488500000000001,-0.17079000000000022,-0.4661742857142857,0.21462259253995405,-0.3385,0.03955999999999982,0.6787898923517828,0.3353813223719071,,4
2023-04-08,-0.42315000000000014,-0.5488500000000001,-0.4271728571428572,0.1891591145670999,0.13955000000000006,0.01385000000000014,0.6070220129648395,-0.11433570434010487,,5
2023-04-09,-0.3471199999999999,-0.42315000000000014,-0.3772585714285715,0.14782171067748726,0.037430000000000074,-0.03860000000000019,0.5686520641576666,-0.018783300468073194,,6
2023-04-10,-0.4292899999999997,-0.3471199999999999,-0.36957571428571434,0.14271508678215414,-0.10902999999999996,-0.026860000000000106,0.5771047263713391,0.09316121551456913,,0
2023-04-11,-0.4657399999999998,-0.4292899999999997,-0.3679371428571428,0.14133247559263418,0.01629999999999998,0.052750000000000075,0.6071331390113254,0.006172006862933621,,1
2023-04-12,-0.2590999999999999,-0.4657399999999998,-0.37771999999999994,0.1288302736161019,0.15157999999999983,-0.05506000000000011,0.5318367564623361,-0.08012814305103333,,2
2023-04-13,-0.37893,-0.2590999999999999,-0.4074542857142856,0.09181138398135136,0.14827999999999997,0.26811000000000007,0.6192063696061412,-0.08372344286531386,,3
2023-04-14,-0.65856,-0.37893,-0.42312714285714276,0.12377253595665956,0.13842,0.41805000000000003,0.7702344293985123,-0.05624444898253489,,4
2023-04-15,-0.6974999999999998,-0.65856,-0.4623199999999999,0.1614753581819831,-0.2625799999999998,-0.22364000000000006,0.8690606449981192,0.20187805653690805,,5
2023-04-16,-1.3922100000000002,-0.6974999999999998,-0.6116185714285713,0.37679341729160504,0.0686199999999999,0.7633300000000003,0.9255902992890565,-0.049007204137979654,,6
2023-04-17,-2.5200799999999997,-1.3922100000000002,-0.910302857142857,0.7996181249553707,-0.3735299999999999,0.7543399999999996,1.422800803758681,0.430085639394582,,0
2023-04-18,-1.7519700000000002,-2.5200799999999997,-1.09405,0.8277239105321693,0.2229699999999999,-0.5451399999999995,1.105086819768276,-0.1471186251994716,,1
2023-04-19,-0.1772100000000001,-1.7519700000000002,-1.0823514285714286,0.8419478724447765,0.5761399999999999,-0.9986200000000003,0.640115883975821,-0.305405221982351,,2
2023-04-20,-1.2007400000000001,-0.1772100000000001,-1.199752857142857,0.7827291782754808,0.10184000000000015,1.1253700000000002,0.7033955778122404,-0.09358407459040752,,3
2023-04-21,-0.6664300000000001,-1.2007400000000001,-1.200877142857143,0.7818274012788732,-0.08326000000000011,-0.6175700000000002,0.6907853875972386,0.07672418302761796,,4
2023-04-22,0.33664999999999967,-0.6664300000000001,-1.0531414285714287,0.9682755109373324,0.45906,-0.5440199999999997,0.34639132777327236,-0.37063965090386575,,5
